Voornaam,Achternaam,Opleidingsniveau,Onderwerpen,Max_Studenten,Beschikbaarheid
Noah,WolfswinkelB,Bachelor,"['Creative Digital Innovation', 'Ethical Hacking', 'Data Visualisation', 'Data Science']",4,"['Maandag', 'Dinsdag', 'Zondag']"
Maud,JorlinkB,Master,"['Business Change and Innovation', 'Creative Digital Innovation']",5,"['Maandag', 'Zondag']"
Kai,NiermannB,Master,"['Creative Digital Innovation', 'Data Visualisation', 'Business Process Analytics', 'Design Science Research']",3,"['Maandag', 'Dinsdag', 'Woensdag', 'Zaterdag', 'Zondag']"
Amin,van 't WelB,PhD,"['Business Process Analytics', 'Artificial Intelligence', 'Software Architecture']",3,"['Maandag', 'Dinsdag', 'Woensdag', 'Donderdag', 'Zaterdag', 'Zondag']"
Quinty,OsterhoudtB,Master,"['Ethical Hacking', 'Creative Digital Innovation']",1,"['Maandag', 'Dinsdag', 'Woensdag', 'Donderdag', 'Vrijdag', 'Zondag']"
Jasmijn,van BeaumontB,Master,"['Artificial Intelligence', 'Software Architecture']",4,"['Maandag', 'Woensdag', 'Donderdag', 'Vrijdag']"
Helena,VerhoevenB,Master,"['Data Visualisation', 'Software Architecture']",3,"['Maandag', 'Dinsdag', 'Woensdag', 'Donderdag', 'Vrijdag']"
Jens,de VriesB,Bachelor,"['Ethical Hacking', 'Software Architecture']",5,['Zondag']
Adriana,SteinmeiernB,PhD,"['Data Visualisation', 'Software Architecture']",3,"['Dinsdag', 'Woensdag', 'Vrijdag']"
Vigo,BeourgeoisB,PhD,"['Data Science', 'Artificial Intelligence', 'Design Science Research']",5,['Zondag']
Tobias,de VromeB,Bachelor,"['Data Science', 'Design Science Research', 'Software Architecture', 'Artificial Intelligence']",4,"['Dinsdag', 'Woensdag', 'Zondag']"
Roos,KösterB,Master,"['Software Architecture', 'Data Science', 'Business Change and Innovation']",4,"['Maandag', 'Dinsdag', 'Woensdag', 'Donderdag', 'Vrijdag', 'Zaterdag', 'Zondag']"
Niek,van WickerodeB,Master,"['Creative Digital Innovation', 'Data Science', 'Artificial Intelligence', 'Ethical Hacking']",3,"['Maandag', 'Dinsdag', 'Donderdag', 'Zondag']"
Lucy,SarneelB,Master,"['Ethical Hacking', 'Software Architecture', 'Data Science']",5,['Vrijdag']
Gijs,RijksB,PhD,"['Ethical Hacking', 'Creative Digital Innovation', 'Artificial Intelligence', 'Software Architecture']",4,"['Maandag', 'Woensdag', 'Donderdag', 'Zaterdag', 'Zondag']"
Linde,SchotteB,Master,"['Data Visualisation', 'Artificial Intelligence', 'Data Science', 'Creative Digital Innovation']",5,"['Maandag', 'Dinsdag', 'Woensdag', 'Zaterdag']"
Stella,RehorstB,Bachelor,"['Data Visualisation', 'Software Architecture']",4,"['Maandag', 'Dinsdag', 'Woensdag', 'Donderdag', 'Vrijdag', 'Zaterdag', 'Zondag']"
Nout,KoretB,Bachelor,"['Data Science', 'Software Architecture', 'Design Science Research']",4,"['Maandag', 'Dinsdag', 'Woensdag', 'Donderdag', 'Zaterdag', 'Zondag']"
Amir,VersluijsB,Master,"['Artificial Intelligence', 'Software Architecture']",3,"['Maandag', 'Dinsdag', 'Vrijdag', 'Zondag']"
Senna,van den HoekB,Master,"['Software Architecture', 'Ethical Hacking', 'Business Process Analytics']",5,"['Dinsdag', 'Zaterdag', 'Zondag']"
Myrthe,van de VeldenB,Master,"['Design Science Research', 'Data Visualisation', 'Software Architecture', 'Business Change and Innovation']",3,"['Dinsdag', 'Woensdag', 'Donderdag', 'Vrijdag']"
Jayda,HorrocksB,Master,"['Data Visualisation', 'Creative Digital Innovation']",3,"['Woensdag', 'Donderdag', 'Vrijdag']"
Mick,JansB,PhD,"['Data Visualisation', 'Business Change and Innovation', 'Creative Digital Innovation', 'Business Process Analytics']",5,"['Maandag', 'Dinsdag', 'Woensdag', 'Donderdag', 'Vrijdag', 'Zondag']"
Seth,SandersB,PhD,"['Data Science', 'Business Process Analytics', 'Software Architecture']",1,"['Maandag', 'Dinsdag', 'Woensdag', 'Donderdag', 'Vrijdag', 'Zaterdag', 'Zondag']"
Matthijs,van der SchuijtB,Bachelor,"['Business Process Analytics', 'Software Architecture', 'Ethical Hacking']",4,"['Maandag', 'Woensdag']"
Aya,van EnschotB,Bachelor,"['Data Science', 'Data Visualisation', 'Creative Digital Innovation', 'Business Change and Innovation']",2,"['Dinsdag', 'Donderdag', 'Vrijdag', 'Zondag']"
Elif,van LiendertB,Master,"['Artificial Intelligence', 'Ethical Hacking']",4,"['Maandag', 'Dinsdag', 'Woensdag', 'Donderdag', 'Zondag']"
Luna,van der KleinB,PhD,"['Business Change and Innovation', 'Artificial Intelligence', 'Design Science Research']",2,['Zaterdag']
Hidde,den TeulingB,PhD,"['Ethical Hacking', 'Artificial Intelligence', 'Software Architecture', 'Design Science Research']",4,"['Maandag', 'Dinsdag', 'Woensdag', 'Zondag']"
Abel,van WaasB,Master,"['Ethical Hacking', 'Design Science Research', 'Data Visualisation', 'Data Science']",3,"['Maandag', 'Dinsdag', 'Woensdag', 'Donderdag', 'Vrijdag', 'Zondag']"
Louise,MuldersB,PhD,"['Business Change and Innovation', 'Data Visualisation']",4,"['Dinsdag', 'Donderdag', 'Vrijdag', 'Zaterdag', 'Zondag']"
Livia,van HaspengouwB,Bachelor,"['Data Science', 'Artificial Intelligence', 'Software Architecture', 'Data Visualisation']",4,"['Maandag', 'Dinsdag', 'Woensdag', 'Donderdag', 'Vrijdag', 'Zondag']"
Nora,CarnotteB,Master,"['Business Process Analytics', 'Business Change and Innovation', 'Data Science']",3,"['Maandag', 'Dinsdag', 'Woensdag', 'Donderdag', 'Zaterdag', 'Zondag']"
Yinthe,van der StrigtB,Master,"['Business Process Analytics', 'Artificial Intelligence', 'Design Science Research']",5,"['Vrijdag', 'Zaterdag']"
Ivan,GeertsenB,Bachelor,"['Data Science', 'Creative Digital Innovation']",5,"['Maandag', 'Vrijdag', 'Zaterdag', 'Zondag']"
Gijs,van de PolB,PhD,"['Data Science', 'Business Process Analytics']",3,"['Maandag', 'Woensdag', 'Donderdag', 'Vrijdag', 'Zaterdag', 'Zondag']"
Dana,de VroegeB,Bachelor,"['Design Science Research', 'Business Change and Innovation']",2,['Vrijdag']
Beau,ScharrooB,Master,"['Creative Digital Innovation', 'Software Architecture', 'Artificial Intelligence']",3,"['Maandag', 'Woensdag', 'Donderdag', 'Vrijdag', 'Zaterdag', 'Zondag']"
Sjoerd,JanseB,PhD,"['Artificial Intelligence', 'Ethical Hacking', 'Software Architecture', 'Creative Digital Innovation']",2,"['Maandag', 'Dinsdag', 'Donderdag', 'Zaterdag', 'Zondag']"
Chris,StoffelB,Master,"['Design Science Research', 'Creative Digital Innovation', 'Business Process Analytics']",1,"['Maandag', 'Dinsdag', 'Woensdag', 'Donderdag', 'Vrijdag', 'Zaterdag', 'Zondag']"
Willem,GerritsenB,Bachelor,"['Data Visualisation', 'Data Science']",2,['Donderdag']
Joëlle,LangevoortB,Master,"['Data Visualisation', 'Ethical Hacking']",3,"['Woensdag', 'Donderdag', 'Zaterdag', 'Zondag']"
Lize,van BaalenB,Master,"['Creative Digital Innovation', 'Design Science Research', 'Business Process Analytics', 'Business Change and Innovation']",5,['Zaterdag']
Mick,KösterB,Bachelor,"['Artificial Intelligence', 'Design Science Research', 'Creative Digital Innovation', 'Ethical Hacking']",1,"['Maandag', 'Dinsdag', 'Donderdag']"
Ryan,PonsB,PhD,"['Creative Digital Innovation', 'Design Science Research', 'Business Change and Innovation']",3,"['Woensdag', 'Donderdag', 'Zondag']"
Chloé,van de WielB,PhD,"['Ethical Hacking', 'Artificial Intelligence']",1,"['Maandag', 'Dinsdag', 'Woensdag', 'Donderdag', 'Vrijdag', 'Zaterdag', 'Zondag']"
Olivier,GarretB,Master,"['Creative Digital Innovation', 'Business Change and Innovation', 'Data Science']",1,"['Maandag', 'Woensdag', 'Zondag']"
Isa,Heribert van LaonB,Bachelor,"['Ethical Hacking', 'Software Architecture']",4,"['Maandag', 'Woensdag', 'Zondag']"
Maryam,KortB,PhD,"['Ethical Hacking', 'Design Science Research', 'Data Visualisation', 'Business Process Analytics']",3,"['Dinsdag', 'Donderdag', 'Zaterdag', 'Zondag']"
Nick,PietersB,Bachelor,"['Data Science', 'Design Science Research', 'Data Visualisation', 'Ethical Hacking']",2,"['Vrijdag', 'Zondag']"
Jake,TamsmaB,PhD,"['Creative Digital Innovation', 'Artificial Intelligence']",5,"['Maandag', 'Woensdag', 'Donderdag', 'Vrijdag']"
Nikki,CammelB,PhD,"['Data Visualisation', 'Data Science', 'Business Change and Innovation']",2,"['Maandag', 'Woensdag', 'Donderdag', 'Vrijdag', 'Zaterdag']"
Jip,GarretB,Bachelor,"['Ethical Hacking', 'Data Visualisation', 'Software Architecture', 'Business Process Analytics']",5,['Dinsdag']
Bart,van ArkelB,Master,"['Artificial Intelligence', 'Software Architecture', 'Business Process Analytics', 'Business Change and Innovation']",3,"['Maandag', 'Dinsdag', 'Woensdag', 'Donderdag', 'Vrijdag', 'Zaterdag', 'Zondag']"
Tyler,van LuysselB,Bachelor,"['Software Architecture', 'Data Visualisation']",4,"['Maandag', 'Dinsdag', 'Woensdag', 'Donderdag', 'Vrijdag', 'Zaterdag', 'Zondag']"
Renske,van DagsburgB,Bachelor,"['Creative Digital Innovation', 'Software Architecture', 'Artificial Intelligence', 'Data Visualisation']",1,"['Donderdag', 'Zaterdag']"
Anne,le GulcherB,Bachelor,"['Business Process Analytics', 'Business Change and Innovation']",3,"['Maandag', 'Dinsdag', 'Woensdag', 'Zaterdag', 'Zondag']"
Benjamin,de GratieB,Master,"['Software Architecture', 'Creative Digital Innovation']",4,['Woensdag']
Eliza,van DongenB,Bachelor,"['Software Architecture', 'Business Process Analytics', 'Creative Digital Innovation']",2,"['Dinsdag', 'Zaterdag', 'Zondag']"
Luka,van LandenB,Master,"['Data Visualisation', 'Business Process Analytics', 'Software Architecture', 'Artificial Intelligence']",2,"['Dinsdag', 'Woensdag', 'Vrijdag']"
Ceylin,BerthoB,Bachelor,"['Business Process Analytics', 'Software Architecture', 'Business Change and Innovation']",3,"['Maandag', 'Dinsdag', 'Donderdag', 'Vrijdag']"
Maarten,DriessenB,Master,"['Ethical Hacking', 'Data Science', 'Creative Digital Innovation', 'Business Process Analytics']",3,"['Woensdag', 'Donderdag', 'Zaterdag', 'Zondag']"
Jill,van BeierenB,Bachelor,"['Business Process Analytics', 'Design Science Research', 'Ethical Hacking']",4,"['Donderdag', 'Vrijdag', 'Zaterdag']"
Kevin,HorrocksB,Master,"['Creative Digital Innovation', 'Business Change and Innovation']",1,"['Maandag', 'Dinsdag', 'Vrijdag', 'Zaterdag']"
Chloë,van der VeenB,PhD,"['Software Architecture', 'Business Process Analytics', 'Creative Digital Innovation']",1,"['Woensdag', 'Zondag']"
Amber,van LimburgB,PhD,"['Data Science', 'Business Change and Innovation', 'Ethical Hacking']",2,"['Maandag', 'Dinsdag', 'Donderdag', 'Vrijdag']"
Jill,MatthewsB,PhD,"['Creative Digital Innovation', 'Business Change and Innovation', 'Software Architecture', 'Artificial Intelligence']",1,['Zondag']
Marijn,SchelvisB,Master,"['Data Science', 'Design Science Research', 'Business Process Analytics', 'Creative Digital Innovation']",4,"['Maandag', 'Dinsdag', 'Donderdag', 'Zaterdag', 'Zondag']"
Luke,RamakerB,Master,"['Software Architecture', 'Data Science', 'Business Process Analytics']",4,"['Maandag', 'Dinsdag', 'Woensdag', 'Donderdag', 'Vrijdag', 'Zaterdag', 'Zondag']"
Vince,VerschutB,PhD,"['Business Change and Innovation', 'Ethical Hacking']",3,['Maandag']
Thijs,AertszB,PhD,"['Data Science', 'Creative Digital Innovation', 'Business Process Analytics', 'Design Science Research']",2,"['Maandag', 'Dinsdag', 'Zaterdag']"
Noëlle,de VosB,Master,"['Ethical Hacking', 'Artificial Intelligence']",5,['Zondag']
Stef,WalsteijnB,Bachelor,"['Business Process Analytics', 'Creative Digital Innovation', 'Ethical Hacking']",4,"['Maandag', 'Dinsdag', 'Woensdag', 'Donderdag', 'Vrijdag', 'Zaterdag', 'Zondag']"
Jason,van OostendorpB,PhD,"['Software Architecture', 'Ethical Hacking', 'Creative Digital Innovation', 'Data Visualisation']",4,"['Dinsdag', 'Vrijdag', 'Zaterdag']"
Amélie,van den EerenbeemtB,Master,"['Software Architecture', 'Artificial Intelligence', 'Business Process Analytics', 'Design Science Research']",1,"['Maandag', 'Woensdag', 'Donderdag', 'Zaterdag', 'Zondag']"
Amelia,LieshoutB,Master,"['Software Architecture', 'Business Process Analytics']",1,['Zondag']
Mats,van der MeerB,Bachelor,"['Business Change and Innovation', 'Artificial Intelligence', 'Data Science', 'Ethical Hacking']",4,"['Maandag', 'Dinsdag', 'Woensdag', 'Donderdag', 'Zaterdag', 'Zondag']"
Loes,HulskesB,PhD,"['Creative Digital Innovation', 'Data Visualisation', 'Data Science']",1,"['Maandag', 'Dinsdag', 'Woensdag', 'Donderdag', 'Vrijdag', 'Zaterdag', 'Zondag']"
Maxim,BrumleveB,PhD,"['Artificial Intelligence', 'Software Architecture', 'Design Science Research']",2,"['Dinsdag', 'Donderdag', 'Vrijdag']"
Linde,JonkerB,Master,"['Business Change and Innovation', 'Data Science']",5,"['Dinsdag', 'Donderdag', 'Vrijdag', 'Zondag']"
Felix,van SpreuwelB,Master,"['Design Science Research', 'Creative Digital Innovation', 'Business Change and Innovation']",1,"['Maandag', 'Dinsdag', 'Donderdag', 'Vrijdag', 'Zaterdag', 'Zondag']"
Stijn,van GinkelB,Bachelor,"['Ethical Hacking', 'Business Change and Innovation']",1,"['Dinsdag', 'Woensdag', 'Donderdag', 'Vrijdag', 'Zondag']"
Dewi,MosleyB,Bachelor,"['Artificial Intelligence', 'Creative Digital Innovation', 'Data Science']",2,"['Maandag', 'Dinsdag', 'Woensdag', 'Donderdag', 'Zaterdag', 'Zondag']"
Veerle,BreséB,Master,"['Ethical Hacking', 'Artificial Intelligence']",1,"['Woensdag', 'Donderdag']"
Aaliyah,van KuijcB,Master,"['Design Science Research', 'Ethical Hacking']",4,"['Maandag', 'Woensdag', 'Donderdag']"
Lois,MaasB,Bachelor,"['Design Science Research', 'Data Visualisation']",1,"['Maandag', 'Dinsdag', 'Woensdag', 'Donderdag', 'Vrijdag', 'Zaterdag', 'Zondag']"
Valentijn,MuddenB,PhD,"['Software Architecture', 'Data Science']",1,"['Maandag', 'Dinsdag', 'Woensdag', 'Vrijdag', 'Zaterdag']"
Amelia,HuijbrechtsB,PhD,"['Software Architecture', 'Data Visualisation', 'Creative Digital Innovation', 'Business Change and Innovation']",4,"['Maandag', 'Dinsdag', 'Woensdag', 'Donderdag', 'Zaterdag', 'Zondag']"
Pippa,CoenenB,Bachelor,"['Creative Digital Innovation', 'Artificial Intelligence']",3,"['Maandag', 'Woensdag', 'Donderdag', 'Zondag']"
Xavi,West-FrancieB,Master,"['Design Science Research', 'Software Architecture', 'Ethical Hacking']",4,"['Maandag', 'Donderdag', 'Vrijdag', 'Zaterdag']"
Loïs,AdelaarB,PhD,"['Software Architecture', 'Artificial Intelligence', 'Business Process Analytics', 'Business Change and Innovation']",1,"['Maandag', 'Dinsdag', 'Woensdag', 'Donderdag', 'Vrijdag', 'Zaterdag', 'Zondag']"
Alicia,KrabbeB,PhD,"['Software Architecture', 'Business Change and Innovation', 'Data Visualisation', 'Ethical Hacking']",2,"['Woensdag', 'Vrijdag', 'Zaterdag']"
Hugo,OpmansB,Bachelor,"['Design Science Research', 'Business Change and Innovation', 'Artificial Intelligence']",1,"['Dinsdag', 'Zondag']"
Benjamin,PietersB,Master,"['Ethical Hacking', 'Business Change and Innovation']",5,"['Maandag', 'Woensdag']"
Isabel,van der PolB,PhD,"['Artificial Intelligence', 'Creative Digital Innovation']",1,"['Woensdag', 'Donderdag', 'Vrijdag', 'Zaterdag', 'Zondag']"
Lot,van der AvoirtB,Master,"['Artificial Intelligence', 'Creative Digital Innovation']",5,"['Maandag', 'Dinsdag', 'Vrijdag', 'Zaterdag']"
Amélie,BaveB,Bachelor,"['Creative Digital Innovation', 'Data Visualisation', 'Design Science Research']",5,['Zaterdag']
Charlotte,HollanderB,Master,"['Ethical Hacking', 'Software Architecture']",5,"['Maandag', 'Dinsdag', 'Vrijdag', 'Zaterdag', 'Zondag']"
Kick,van der FlaasB,PhD,"['Creative Digital Innovation', 'Business Process Analytics', 'Data Visualisation', 'Data Science']",4,"['Maandag', 'Vrijdag']"
Hailey,VerbeekB,Master,"['Business Change and Innovation', 'Data Science', 'Data Visualisation']",4,"['Dinsdag', 'Donderdag']"
