Voornaam,Achternaam,Opleidingsniveau,Onderwerpen
Xavi,van Wickerode,Master,"['Ethical Hacking', 'Data Visualisation', 'Software Architecture', 'Business Process Analytics']"
Linde,Schotte,Bachelor,"['Software Architecture', 'Artificial Intelligence', 'Business Process Analytics', 'Business Change and Innovation']"
Joëlle,Bresé,Bachelor,"['Creative Digital Innovation', 'Data Science', 'Artificial Intelligence', 'Ethical Hacking']"
Aaliyah,van Beaumont,Master,"['Business Change and Innovation', 'Artificial Intelligence', 'Data Science', 'Ethical Hacking']"
Willem,Mudden,Bachelor,"['Software Architecture', 'Artificial Intelligence', 'Business Process Analytics', 'Design Science Research']"
Valentijn,Scharroo,Master,"['Ethical Hacking', 'Artificial Intelligence']"
Nout,Brumleve,Master,"['Data Visualisation', 'Business Change and Innovation', 'Creative Digital Innovation', 'Business Process Analytics']"
Ryan,van Arkel,PhD,"['Creative Digital Innovation', 'Data Visualisation', 'Design Science Research']"
Luke,Mosley,Bachelor,"['Data Science', 'Artificial Intelligence', 'Design Science Research']"
Dana,van de Pol,PhD,"['Ethical Hacking', 'Business Change and Innovation']"
Charlotte,Pieters,Bachelor,"['Data Science', 'Design Science Research', 'Data Visualisation', 'Ethical Hacking']"
Pippa,Koret,PhD,"['Software Architecture', 'Data Science']"
Nick,van der Meer,Master,"['Business Change and Innovation', 'Data Science']"
Amber,van der Avoirt,Bachelor,"['Software Architecture', 'Business Process Analytics', 'Creative Digital Innovation']"
Louise,Horrocks,Bachelor,"['Software Architecture', 'Business Change and Innovation', 'Data Visualisation', 'Ethical Hacking']"
Thijs,van Waas,PhD,"['Software Architecture', 'Data Science', 'Business Change and Innovation']"
Lucy,Hulskes,Bachelor,"['Design Science Research', 'Data Visualisation', 'Software Architecture', 'Business Change and Innovation']"
Helena,Pieters,PhD,"['Artificial Intelligence', 'Creative Digital Innovation']"
Jasmijn,van Dongen,PhD,"['Design Science Research', 'Creative Digital Innovation', 'Business Process Analytics']"
Mick,Verhoeven,Master,"['Ethical Hacking', 'Creative Digital Innovation']"
Amir,Cammel,PhD,"['Ethical Hacking', 'Software Architecture']"
Anne,Köster,Master,"['Business Process Analytics', 'Design Science Research', 'Ethical Hacking']"
Olivier,Sarneel,PhD,"['Data Visualisation', 'Software Architecture']"
Chris,van Landen,PhD,"['Data Visualisation', 'Ethical Hacking']"
Eliza,Janse,Master,"['Software Architecture', 'Ethical Hacking', 'Business Process Analytics']"
Hidde,Rehorst,Master,"['Software Architecture', 'Data Science', 'Business Process Analytics']"
Amélie,Kort,Master,"['Artificial Intelligence', 'Software Architecture', 'Business Process Analytics', 'Business Change and Innovation']"
Kai,Opmans,Bachelor,"['Data Visualisation', 'Creative Digital Innovation']"
Stef,van Beieren,Bachelor,"['Creative Digital Innovation', 'Business Change and Innovation']"
Stijn,Matthews,PhD,"['Data Science', 'Business Process Analytics']"
Gijs,van Kuijc,Master,"['Creative Digital Innovation', 'Software Architecture', 'Artificial Intelligence', 'Data Visualisation']"
Veerle,Aertsz,Bachelor,"['Data Visualisation', 'Data Science', 'Business Change and Innovation']"
Maud,Garret,PhD,"['Software Architecture', 'Data Visualisation']"
Amelia,van den Hoek,Master,"['Business Process Analytics', 'Artificial Intelligence', 'Software Architecture']"
Amelia,van der Strigt,Bachelor,"['Creative Digital Innovation', 'Business Change and Innovation', 'Software Architecture', 'Artificial Intelligence']"
Nora,Köster,Master,"['Software Architecture', 'Creative Digital Innovation']"
Maryam,van der Veen,PhD,"['Data Science', 'Business Change and Innovation', 'Ethical Hacking']"
