Student,Mentor,Day
Amin de Lange,Linde Schotte,Zondag
Sil Zaal,Linde Schotte,Woensdag
Seth Molegraaf,Linde Schotte,Zaterdag
Niek Krabbe,Joëlle Bresé,Donderdag
Mika Van Bragt,Joëlle Bresé,Zaterdag
Esmée Symons,Aaliyah van Beaumont,Vrijdag
Lois Remmers,Willem Mudden,Dinsdag
Emir Jorrisen,Valentijn Scharroo,Donderdag
Sep Molen,Luke Mosley,Maandag
Morris Galenzone,Luke Mosley,Zondag
Bryan Maas,Luke Mosley,Dinsdag
Emily van der Stael de Jonge,Dana van de Pol,Donderdag
Leah van 't Riet,Dana van de Pol,Maandag
Milou Vertoor,Pippa Koret,Dinsdag
Jacob van den Henst,Nick van der Meer,Zondag
Roos Schiffer,Amber van der Avoirt,Maandag
Puk ter Waarbeek,Amber van der Avoirt,Donderdag
Arthur Jacobi,Amber van der Avoirt,Zaterdag
Tessa Molen,Amber van der Avoirt,Woensdag
Tijs Strijker,Helena Pieters,Zaterdag
Tyler Miltenburg,Jasmijn van Dongen,Maandag
Jip van Wessex,Chris van Landen,Donderdag
Thijmen Saxo,Amélie Kort,Maandag
Bjorn van Haspengouw Hesbaye,Kai Opmans,Maandag
Dean Holthuis,Stef van Beieren,Zondag
Tristan Kruns,Stijn Matthews,Vrijdag
Bram Marceron,Gijs van Kuijc,Donderdag
Daan Moenen,Maud Garret,Woensdag
Roan Passchiers,Amelia van der Strigt,Zaterdag
Eva Simonis,Nora Köster,Zondag
Timo Verbeek,Nora Köster,Zaterdag
Fay Shupe,Matthijs Verbeek,Woensdag
"Jelte Bourgondië, van",Matthijs Verbeek,Donderdag
Aiden Kathagen,Noëlle Jorlink,Maandag
Hamza Karels,Noëlle Jorlink,Dinsdag
Linn Mudden,Noëlle Jorlink,Zaterdag
Lorenzo de Bont,Noëlle Jorlink,Zondag
Isis Verbeek,Aya Horrocks,Zaterdag
Adriana Pieters van der Maes,Aya Horrocks,Maandag
Marijn Ehlert,Aya Horrocks,Donderdag
Collin Huisman,Ceylin Beourgeois,Zondag
Lieve Mudden,Ceylin Beourgeois,Donderdag
Floris ter Waarbeek,Jill van de Velden,Donderdag
Seth Groenestein,Jill van de Velden,Vrijdag
Esther Scholten,Hailey Coenen,Dinsdag
Rosalie Segerszoen,Lize van der Schuijt,Dinsdag
Elif van Berkel,Loes Ramaker,Woensdag
Aimée Dachgelt,Renske Jonker,Maandag
Aaron van de Wal,Lois van Baalen,Dinsdag
Mohamed van Luxemburg,Lois van Baalen,Maandag
Sterre van Opper-Lotharingen,Maarten Walsteijn,Dinsdag
Arie Charon,Maarten Walsteijn,Vrijdag
David Bronder,Jason Driessen,Zaterdag
Kate Demmendaal,Jason Driessen,Dinsdag
Nick Kolster,Alicia de Vries,Donderdag
Joëlle Sanders,Alicia de Vries,Woensdag
Ayoub van der Velden,Mats de Vroege,Zaterdag
Elizabeth van Kuijc,Mats de Vroege,Zondag
Ravi Cosman,Jens Lieshout,Donderdag
Niek Tillmanno,Vigo van 't Wel,Zaterdag
Lisa de Swart,Abel de Gratie,Zaterdag
Noortje Kuijpers,Senna van den Eerenbeemt,Dinsdag
Isabelle van de Elzas,Senna van den Eerenbeemt,Maandag
Jesper van Velzen,Kick van Limburg,Zondag
Kyara van Lucel,Kick van Limburg,Woensdag
Dina van Maaren,Kick van Limburg,Dinsdag
Kyra Broeckx,Kick van Limburg,Maandag
Yasmin van 't Houteveen,Kick van Limburg,Zaterdag
Julia Lommert,Beau van Spreuwel,Zaterdag
Maja Fortuyn,Isa Maas,Zondag
Emma van Kuijc,"Maxim West-Francië, van",Zondag
Frederique Cadefau,"Maxim West-Francië, van",Woensdag
Zoë Chrodtrud,Mick Verschut,Maandag
Vigo Dubois,Mick Verschut,Dinsdag
Fleur Groenestein,Seth de Vos,Donderdag
Tim Winters,Jake Adelaar,Dinsdag
Tijn Doorhof,Jake Adelaar,Donderdag
Dion van den Corput,Jake Adelaar,Maandag
Felix Olykan,Tobias Gerritsen,Zondag
Aylin Galijn,Amélie Garret,Zaterdag
Micha Claesdr,Chloë van der Klein,Donderdag
Joost Rutten,Chloë van der Klein,Zaterdag
Floor Merkx,Chloë van der Klein,Zondag
Inaya Verkade,Linde Hollander,Zondag
Abel van Metz,Luna le Gulcher,Donderdag
Ivan van Bentheim,Luna le Gulcher,Dinsdag
Oscar van de Brink,Luna le Gulcher,Woensdag
Nynke Verbeeck,Tyler Tamsma,Zondag
Jonathan Verbeek,Tyler Tamsma,Woensdag
Kyano de Bruin,Tyler Tamsma,Maandag
Joris van Asten,Felix van der Pol,Zondag
Ravi van Bernicia,Felix van der Pol,Zaterdag
Karlijn de Werd,Felix van der Pol,Woensdag
Naud Kleijse,Felix van der Pol,Dinsdag
Jennifer van de Greef,Ivan den Teuling,Zaterdag
Mason van der Horst,Ivan den Teuling,Woensdag
Dewi Houdijk,Loïs Huijbrechts,Vrijdag
Damian Gnodde,Loïs Huijbrechts,Woensdag
Mart Kuijpers,Yinthe van Dagsburg,Dinsdag
Megan Kleijse,Yinthe van Dagsburg,Donderdag
